id,originalTitle,description,budget,genres,averageRating,averageRating.1,metascore
tt0111161,The Shawshank Redemption,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",25000000.0,['Drama'],9.3,9.3,82.0
tt0068646,The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,6000000.0,"['Crime', 'Drama']",9.2,9.2,100.0
tt0468569,The Dark Knight,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",185000000.0,"['Action', 'Crime', 'Drama']",9.1,9.1,85.0
tt0071562,The Godfather Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",13000000.0,"['Crime', 'Drama']",9.0,9.0,90.0
tt0050083,12 Angry Men,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,350000.0,"['Crime', 'Drama']",9.0,9.0,97.0
tt0167260,The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,94000000.0,"['Adventure', 'Drama', 'Fantasy']",9.0,9.0,94.0
tt0108052,Schindler's List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",22000000.0,"['Biography', 'Drama', 'History']",9.0,9.0,95.0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,93000000.0,"['Adventure', 'Drama', 'Fantasy']",8.9,8.9,92.0
tt0110912,Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8000000.0,"['Crime', 'Drama']",8.8,8.8,95.0
tt0060196,"Il buono, il brutto, il cattivo",A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,1200000.0,"['Adventure', 'Drama', 'Western']",8.8,8.8,90.0
tt0167261,The Lord of the Rings: The Two Towers,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",94000000.0,"['Adventure', 'Drama', 'Fantasy']",8.8,8.8,87.0
tt0109830,Forrest Gump,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",55000000.0,"['Drama', 'Romance']",8.8,8.8,82.0
tt0137523,Fight Club,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,63000000.0,"['Crime', 'Drama', 'Thriller']",8.8,8.8,67.0
tt1375666,Inception,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster.",160000000.0,"['Action', 'Adventure', 'Sci-Fi']",8.8,8.8,74.0
tt0080684,Star Wars: Episode V - The Empire Strikes Back,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",18000000.0,"['Action', 'Adventure', 'Fantasy']",8.7,8.7,82.0
tt0133093,The Matrix,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",63000000.0,"['Action', 'Sci-Fi']",8.7,8.7,73.0
tt0099685,GoodFellas,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",25000000.0,"['Biography', 'Crime', 'Drama']",8.7,8.7,92.0
tt0816692,Interstellar,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",165000000.0,"['Adventure', 'Drama', 'Sci-Fi']",8.7,8.7,74.0
tt0073486,One Flew Over the Cuckoo's Nest,"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.",3000000.0,['Drama'],8.6,8.6,84.0
tt0114369,Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",33000000.0,"['Crime', 'Drama', 'Mystery']",8.6,8.6,65.0
tt0038650,It's a Wonderful Life,An angel is sent from Heaven to help a desperately frustrated businessman see the value of his own life.,3180000.0,"['Drama', 'Family', 'Fantasy']",8.6,8.6,89.0
tt0102926,The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",19000000.0,"['Crime', 'Drama', 'Horror']",8.6,8.6,86.0
tt0047478,Shichinin no samurai,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",125000000.0,"['Action', 'Drama']",8.6,8.6,98.0
